Id,Text,Summary
4568,we use your connections preferences interests and activities based on the data we collect and learn from you and others,newsletters contact
4569,regarding banking information said the information will be deleted once the payment has been processed and has become effective the withdrawal period could additionally apply the number and the expiration date of the credit card number not the cvv security code could be stored through intermediary archives for evidence purposes in case of a claim regarding the payment,measure the effectiveness of advertising campaigns
4570,from time to time we may ask our registered users or visitors to participate in surveys these surveys are optional if you choose to participate any information you provide to us including personal information will be linked with your account in our system if you would not like your information to be used in this way you have the option to not participate in surveys or if you do participate to provide us only with information you consent to our use of in accordance with this privacy policy,device usage data
4571,your profile is fully visible to all members and customers of our services subject to your settings it can also be visible to others on or off of our services,disclose personal information to law enforcement 
4572,your information including personal data may be transferred to  and maintained on  computers located outside of your state province country or other governmental jurisdiction where the data protection laws may differ from those of your jurisdiction,incognito mode and guest mode
4573,data analytics and advertising services in order to understand your preferences and to show you advertising about our services,cookies
4574,the personal information that you are asked to provide and the reasons why you are asked to provide it will be made clear to you at the point we ask you to provide your personal information,personalizing services
4575,we use cookies to offer you a better user experience the cookies we use generally included in the following categories technical  used for our services to function properly firstparty cookies or thirdparty cookies preferences  remember your settings and preferences security  identify and prevent security risks performances  collect information about how you interact with our services eg software features in order to help us improve them promotions  deliver advertisements track the efficiency of our advertising campaigns both on our services and on other websites,third party services
4576,we also use your personal data to contact you electronically about products and services which we think may interest you,administer forum 
4577,docker may partner with other companies to jointly offer products or services if you purchase or specifically express interest in a jointly offered product or service from docker the company may share data about docker customers collected in connection with your purchase or expression of interest with our joint promotion partners,
4578,we will not retain your data for longer than necessary for the purposes set out in this policy different retention periods apply for different types of data however the longest we will normally hold any personal data is six years,detecting forged websites using safe browsing
4579,we receive the url of both the site you came from and the one you go to and the time of your visit,where is personal information stored
4580,we asure you the right to object at any time to processing of personal information concerning you for direct marketing,making connections
4581,we make the content you store in evernote readily accessible to you until you make the decision to delete it if you delete your content and then sync it will no longer be accessible to you or others who may access the evernote service the evernote services backup systems may retain residual copies of your deleted content for up to one year due to the nature of those systems operations,how does google analytics work
4582,right to rectification you have the right to correct or amend your information if it is incorrect inaccurate or incomplete,share data with service providers
4583,to the extent permitted by applicable law we may share disclose and transfer information including personal information as follows with the customer as part of the screenrec services,process of accessing personal information
4584,when a customer interacts with a microsoft support professional we collect device and usage data or error reports to diagnose and resolve problems,comply with legal obligations
4585,if you have an account with paypal we will associate information from all these sources with your account to improve your experience and for compliance and analytics purposes,disclosing information to governmnet
4586,in order to help us track the success of promotional campaigns chrome generates a unique token that is sent to google when you first run and use the browser in addition if you received or reactivated your copy of the desktop version of the chrome browser as part of a promotional campaign and google is your default search engine then searches from the omnibox will include a nonunique promotional tag,personalize experience 
4587,we use your data to authorize access to our services and honor your settings,sharing personal information for law and emergencies
4588,you have the choice to opt out of these communications at any time by clicking the unsubscribe link at the end of every email newsletter,contact information and password
4589,we also use web beacons to help deliver cookies and gather usage and performance data our websites may include web beacons cookies or similar technologies from third party service providers,url information
4590,other data shared with third parties we may share aggregated data and nonpersonal data with third parties for industry research and analysis demographic profiling and other similar purposes,information sent while installaton and excution
4591,the normal legal basis for processing customer data is that it is necessary for preventing investigating and detecting crime fraud or antisocial behaviour and prosecuting offenders including working with law enforcement agencies,providing analytics services
4592,education information data analytics providers recruiting partners general business productivity partners,hosting data
4593,we may disclose your personal information to government and regulatory authorities as required or authorised by law including to comply with any obligation we or our service providers may have to give notice of any eligible data breaches in australia where our parent company blackmagic design pty ltd is located or another relevant jurisdiction or other third parties as permitted by law,license purchased 
4594,we may obtain information from other sources and combine that with information we collect through our services for example if you create or log into your account through a thirdparty social networking site we will have access to certain information from that site such as your name account info in accordance with the authorization procedures determined by such thirdparty social networking site,purpose of tracking machine information
4595,we will show you ads called sponsored content which look similar to non sponsored content except that they are labeled as advertising for example as ad or sponsored if you take a social action such as like comment or share on these ads your action is associated with your name and viewable by others including the advertiser subject to your settings if you take a social action on the linkedin services that action may be mentioned with related ads for example when you like a company we may include your name and photo when their sponsored content is shown,personal data
4596,we collect different types of personal information about the visitors and users of our website,how to unsubscribe to emails services
4597,for safety and security we use the information we collect including account payment and service usage information including your communications to verify accounts and activity to monitor suspicious or fraudulent activity and to identify violations of service policies including our terms of service or this privacy policy andor attempts to harm our members or visitors,withdrawing consent
4598,if you have an account on photoshop essentialscom you can request to receive an exported file of the personal data we hold about you including any data you have provided to us you can also request that we erase any personal data we hold about you this does not include any data we are obliged to keep for administrative legal or security purposes please note that we are not able to delete your information while your membership is active as this would prevent you from accessing your account,gather analysis 
4599,employee data is only used for the for the purposes of facilitating the performance of certain administrative tasks and functions relating to general employment and for processing and investigating reports under the companys codes and policies,
4600,require us to correct any mistakes in your information which we hold,use information to provide services 
4601,the purpose of the google analytics component is to analyze the traffic on the website google uses the collected data and information inter alia to evaluate the use of the website and to provide online reports which show the activities on the website and to provide other services concerning the use of the website for us,improve professional networking 
4602,accessing editing or deleting your personal information if you have created an account you may at any time review andor update the contact information we have for you please note that even if you delete information from your account or deactivate it we may retain certain information as required by law or for legitimate business purposes we may also retain cached or archived copies of your information for a certain period of time,identifiers
4603,employee data which may include name address job title and other job information location compensation information identification number employment history and copy of employment agreement,what are payment information
4604,this information may be used to administer our services including contacting you in relation to payments,statistics on page views 
4605,docker may use cookies to make interactions with the companys website easy and meaningful when you visit the companys website dockers servers send a cookie to your computer standing alone cookies do not personally identify you they merely recognize your web browser unless you choose to identify yourself to docker,provide marketing news 
4606,evernote provides you with features that allow you to communicate and collaborate with other users deleting your copy of these communications such as messages will not delete copies existing in the accounts of people with whom you were interacting,sending updates
4607,when you use our services on your computing and mobile devices such as by using one of our downloadable applications some of your data will be stored locally on such devices,disclosing information to autorised parties
4608,we may collect information that you provide when you use the services such as when you otherwise communicate with us through or about the services,customer data
4609,we share information about you with companies that aggregate it to provide analytics and measurement reports to our partners,information from partners like advertisers
4610,protecting against security threats abuse and illegal activity as part of our efforts to protect your account and the functionality of the evernote service our systems may analyze the emails you send to and from your evernote account and the notes you share to detect spam malware or other potential security concerns if we determine that such material constitutes a terms of service or user guidelines violation we may block delivery of or unshare the problematic material much like a spam filter works for your email inbox,ads and other sponsored content
4611,sharing data with a buyer investor new affiliate or other third party in the event that screenrec or any portion group or business unit thereof undergoes a business transition such as a merger or acquisition or during steps in contemplation of such activities eg negotiations and due diligence you will be notified via email and or a prominent notice on our website of any change in ownership change in use of your personal information and choices you may have regarding any change in use of your personal information,privacy protection
4612,you have the right to request that we restrict the processing of your personal data under certain conditions,no access to credit card numbers 
4613,employee data is only used for the for the purposes of facilitating the performance of certain administrative tasks and functions relating to general employment and for processing and investigating reports under the companys codes and policies,activity and usage data
4614,as a user of google analytics we do not and will not allow any third party to use google analytics to track collect or upload any data that personally identifies an individual such as a name email address or billing information or other data which can be reasonably linked to such information by google we include this page to outline our privacy policy and we comply with all applicable laws and regulations relating to the collection of information from visitors,premium services 
4615,as described below we collect information from and about the computers phones connected tvs and other webconnected devices you use that integrate with our products and we combine this information across different devices you use for example we use information collected about your use of our products on your phone to better personalize the content including ads or features you see when you use our products on another device such as your laptop or tablet or to measure whether you took an action in response to an ad we showed you on your phone on a different device,suggesting skills
4616,usage data we collect and log internet or other electronic network information on how you and others access and use evernote for example the act of creating a note or sharing a note usage data may be collected,provide troubleshooting and customer suppport
4617,when you sync your devices with our service such data will be replicated on servers maintained in the united states singapore india parisjapan or russia this means that if you store your information in or submit data to our sites apps or products your information will be transmitted hosted and accessed in any of these countries andor districts based on your location,what is a cookie
4618,we have specific rules for how and when we use the information we collect and receive we are committed to protecting the privacy of your information we use the information we collect and receive to provide maintain and improve the evernote service to provide troubleshooting and customer support to protect the evernote service for all our users to contact you and to administer evernote teams accounts,purpose of sharing data with buyer investors 
4619,the information that chrome sends to google location services may include the wifi routers closest to you the strength of your wifi or cell signal the ip address that is currently assigned to your device,how does google analytics work
4620,to remove content you have shared on our services and software please use the same feature you used to share the content if another user invites you to participate in shared viewing editing or commenting of content you may be able to delete your contributions but usually the user who invited you has full control if you have questions or concerns about this please contact us,ip address
4621,your personal information may be stored in canada the european union and the united states always with our same high security standards,provide customer support
4622,the basic information on internet use that is transferred as mandatory includes but is not limited to generative information such as ip address browser data version and form information etc access time header referrer website address url os data os name version etc and the like generally such information is automatically recorded on web servers of visited websites issues about the type duration of record and intended use of information follow the privacy policy defined by websites visited or the service provider,information shared with contacts
4623,if you close your account or request that we delete personal data we still need to keep some personal data so we can complete a transaction provide goods or services you requested or comply with our promises to you in the user agreement or other contract you have with us detect and prevent malicious fraudulent or illegal activity protect your or another persons legal rights including the right to free speech manage our internal business processes that are reasonably related to your expectations when using our services comply with laws,tracking viewed products information
4624,sharing of public content we enable the sharing of user content on our services if your content is public facing third parties may access and use it we do not sell that content it is yours however we do allow third parties such as search engines eg google archives and other members of the public to access and compile public facing information,how to deal with data accessing requests
4625,analytics we may use third party analytics services such as google analytics to track the use of screenrec services by our customers for information on how google collects and processes information and how to opt out from googles collection of your information please click here,software development kit sdk
4626,we provide you with the ability to access rectify port and erase your data learn more in your facebook settings and instagram settings,improve products
4627,we may process your personal information to improve our existing services and help us design new ones when we do so we may implement security measures and safeguards to protect the privacy of your personal information for example we may institute technical safeguards or administrative safeguards such as restricting access to personal information to only those who need access to conduct the research and development functions,vendors data
4628,we also use the information we collect to offer you customized content including suggesting pins or boards you might like for example if youve indicated that youre interested in cooking or visited recipe websites that have pinterest features we may suggest foodrelated pins boards or people that we think you might like showing you ads you might be interested in for example if you purchased a camping tent on pinterest we may show you ads for other outdoorsy products,ip address
4629,we may get information about you and your activity off pinterest from our affiliates advertisers partners and other third parties we work with for example some websites or apps use pinterest features like our save button if so we may collect log information described above from those sites or apps,managing and improving business
4630,when visiting our website or accessing our services we may also collect and store the following details ip address from which you access our website or services the date and time you access our website or services any third party website from which you linked to our website or accessed our service statistics on page views traffic to and from our website and services and other transactional information about your access to our website or services,purpose of non logged data users
4631,we adopt appropriate data collection storage and processing practices and security measures to protect against unauthorized access alteration disclosure or destruction of the collected personal data,payment processors
4632,what we collect and store location ip address and browser type we will use this for purposes like estimating taxes and shipping,navigation assistance
4633,we use the information we have to send you marketing communications communicate with you about our products and let you know about our policies and terms we also use your information to respond to you when you contact us,cookies
4634,the normal legal basis for processing customer data is that it is necessary for  selling and supplying goods and services to our customers,how is personal information protected
4635,under certain circumstances we may be required to disclose your personal data if required to do so by law or in response to valid requests by public authorities,check financial qualifications
4636,we will keep your information and nonpersonal data separate and use each independently if we do combine nonpersonal data with your information the combined data will be treated as personal data we will protect the privacy of your information through strong security and encryption and in accordance with this privacy policy,collecting data automatically
4637,we may use your personal information to conduct analytics this can be used for quality control internal auditing and to measure how the slideshow maker app mobile application and ad campaigns are performing,share personal data with third parties 
4638,it may collect data to improve our operations and to understand how to provide you with the best experience,third party services
4639,if you contact our customer support team for help with specific pieces of content in your account for example if you can not find a note you believe should be in your account we may ask for your temporary permission to look at your content this permission terminates when the issue is resolvedlearn moreshow less,understanding needs
4640,we adopt appropriate data collection storage and processing practices and security measures to protect against unauthorized access alteration disclosure or destruction of your personal information username password hash transaction information and other data stored on our site,third party services
4641,from time to time we may ask our registered users or visitors to participate in surveys these surveys are optional if you choose to participate any information you provide to us including personal information will be linked with your account in our system if you would not like your information to be used in this way you have the option to not participate in surveys or if you do participate to provide us only with information you consent to our use of in accordance with this privacy policy,data about device when installing updates
4642,we may disclose your personal information if it is reasonably necessary to comply with a valid legal process eg subpoenas warrants court orders etc,
4643,if we or our subsidiaries are involved in a merger acquisition or asset sale your personal data may be transferred,where personal information and files are stored
4644,your connections you can use the contact upload feature and provide us if permitted by applicable laws with the phone numbers in your address book on a regular basis including those of users of our services and your other contacts if any of your contacts arent yet using our services well manage this information for you in a way that ensures those contacts cannot be identified by us learn more about our contact upload feature here you can create join or get added to groups and broadcast lists and such groups and lists get associated with your account information you give your groups a name you can provide a group profile picture or description,purpose of sharing data with buyer investors 
4645,inkscape may collect and use users personal information for the following purposes to send alerts via email or other means about events,receive digital receipts
4646,right of access you have the right to receive information about your personal data processed by us upon request,transfering personal information to deliver services 
4647,we use the collected data for various purposes including to provide customer support,partners who use analytics services
4648,complete your payment transactions,visitors information
4649,the normal legal basis for processing customer data is that it is necessary for understanding our customers behaviour activities preferences and needs,editing or deleting personal data
4650,some websites encrypt media to protect against unauthorized access and copying for html5 sites this key exchange is done using the encrypted media extensions api in the process of allowing access to this media session identifiers and licenses may be stored locally ,detecting maware
4651,your devices or software data such as your internet protocol ip address device identifier region and language settings network provider network settings and status operating system device storage android id mobile advertising identifiers such as ios idfas and android advertising ids collectively mobile ids user agent and hdid browser or apps that you have installed mobile websites that you have interacted with and how you interact with them including whether and how you interact with ads including timestamp information,how to deal with data accessing requests
4652,we use data to make a tailored website available to you,where are the log files stored
4653,we will also share your personal information with companies that help us run our business by processing personal information on behalf of adobe for the purposes identified above such companies include providers of customer support services payment processing services fraud monitoring and prevention email social media and other marketing platforms and service providers and hosting services we require these companies to protect your personal information consistent with this privacy policy,information that google receives
4654,this information may be used to verify your identity respond to your requests and contact you when necessary,transmitting search terms
4655,we store the information we collect about you for as long as is necessary for the purposes for which we originally collected it we store our backups for six 6 months we may retain certain information for legitimate business purposes or as required by law,the process of paying using apple pay
4656,right to erasure you have the right to obtain from us under the following conditions the deletion of your information the respective processing purpose has been achieved we have unlawfully processed your information you have withdrawn your consent without another legal basis applying to the data processing you have successfully objected to the data processing in cases where there is an obligation to delete information on the basis of eu law or the law of an eu member state to which we are subject,sending locally relevant options
4657,collecting data to communicate with you,when refusing to access personal information
4658,undelivered messages if a message cannot be delivered immediately for example if the recipient is offline we keep it in encrypted form on our servers for up to 30 days as we try to deliver it if a message is still undelivered after 30 days we delete it,measure the performance of ads
4659,suggest connections for you and others,modification of provided information
4660,a cookies are small text files that are placed on your hard drive by a web server when you access our services we may use both session cookies and persistent cookies to identify that youve logged in to the services and to tell us how and when you interact with our services we may also use cookies to monitor aggregate usage and web traffic routing on our services and to customize and improve our services unlike persistent cookies session cookies are deleted when you log off from the services and close your browser although most browsers automatically accept cookies you can change your browser options to stop automatically accepting cookies or to prompt you before accepting cookies please note however that if you dont accept cookies you may not be able to access all portions or features of the services some thirdparty services providers that we engage including thirdparty advertisers may also place their own cookies on your hard drive on the basis of related arrangement please note that this privacy policy covers only our use of cookies but not use of cookies by such third parties,how long is data retained 
4661,when you activate your adobe app or when you install updates to the app we collect information about your device manufacturer model ip address the adobe app version date of activation successful and unsuccessful updates your product serial number where this is required before you can start using your product you can learn more about app activation here,storing data by premium users 
4662,communicate with you as described elsewhere in this privacy policy,monitor and evaluate trends
4663,if you use our services from a mobile device that device will send us data about your location based on your phone settings we will ask you to opt in before we use gps or other tools to identify your precise location,share data when ordered by law
4664,if we or our subsidiaries are involved in a merger acquisition or asset sale your personal data may be transferred,automated error reports 
4665,performing our services we use a number of technologies to help you get the most out of the evernote service our systems automatically analyze your data to power evernote features and to continually improve the evernote service for you in a way that does not require anyone to look at your content this may include,other ressources
4666,we will use your information such as contact information to send you communications about your account requested transactions and changes in our policies please note that you may not opt out of such communications which are necessary to keep you informed about important updates about your account and the services,requesting a copy of personal information
4667,we also use the data we have about you to suggest skills you could add to your profile and skills that you might need to pursue your next opportunity so if you let us know that you are interested in a new skill eg by watching a learning video we will use this information to personalize content in your feed suggest that you follow certain members on our site or suggest related learning content to help you towards that new skill,the purpose of collecting information
4668,you should keep in mind that in general any user can capture screenshots of your chats or messages or make recordings of your calls with them and send them to whatsapp or anyone else or post them on another platform,exchanging information about users
4669,we use data for managing supplying and invoicing our products and services to you,service providers
4670,inkscape may collect and use users personal information for the following purposes to run and operate our site to display content on the site correctly,sharing data with other members of paypal
4671,to test and improve our product offerings for our users we use aggregated data that does not contain any personal information does not identify any person and cannot be connected to any specific user this policy is not intended to apply to such anonymizeddeidentified data,service development
4672,processing data is necessary for the purposes of the legitimate interests pursued by us or by a third party except where such interests are overridden by the fundamental rights and freedoms of the data subject which require protection of personal data in particular where the data subject is a child,personal information
4673,slideshow maker app is an international organization operating from india singapore and the us when you access or use our services your personal information may be processed in the servers and services located in indian singaporean or us servers or any other country in which we our affiliates or service providers maintain facilities such countries or jurisdictions may have data protection laws that are less protective than the laws of the jurisdiction in which you reside if you do not want your information transferred to processed or maintained outside of the country or jurisdiction where you are located you should immediately stop accessing or using the services,integrate advertisements on the website
4674,when you register for an account and create an adobe id we process and keep most personal information we have about you for as long as you are an active user of our services and software when you close your account we begin deleting certain personal information that we no longer have a business reason to retain such as your hashed password and your tokenized payment account data however we typically retain personal information related to our contract and business transactions with you for ten years after your last interaction with us,requesting a copy of personal information
4675,cookies are unique and can only be read by the server that assigns them they cannot be executed as code or deliver viruses,sharing contributions to enable collaborative opensource
4676,we do not knowingly collect personal information from people who are not allowed to use our sites and services such as children under the age of 13 contact us if you believe that weve mistakenly collected personal data from someone not allowed to use our services well delete it immediately unless were legally required to keep it, google location services
4677,for advertising we use the information we collect including account and contact information to target ads to registered users visitors and others through a variety of advertising partners in some cases we also use information including service usage information and information from web beacons pixels and cookies and device identifiers that we collect as mentioned above to better understand how to promote and advertise our services to you,using information for identifying trends
4678,your contacts and others users including businesses with whom you communicate can store or reshare your information including your phone number or messages with others on and off our services you can use your services settings and the block feature in our services to manage who you communicate with on our services and certain information you share,username and password
4679,you have the right to request that we restrict the processing of your personal data under certain conditions,log files 
4680,to protect childrens privacy and safety we provide specific protection with regard to childrens personal data our services are not directed to children under the age of 16 years or otherwise provided by the related jurisdiction and we do not knowingly collect store share or use personal data from children if you are a child under 16or otherwise provided by the related jurisdiction you are not permitted to use and install our products or create your own wps ids unless your parent provides verifiable consent if we learn that we have collected personal data of a child under 16 unless we have first obtained verifiable explicit parental permission for collecting personal data of such child we will take steps to delete the information as soon as we can,help resplve problems 
4681,we will use your information such as contact information to send you communications about your account requested transactions and changes in our policies please note that you may not opt out of such communications which are necessary to keep you informed about important updates about your account and the services,cookies
4682,employee data which may include name address job title and other job information location compensation information identification number employment history and copy of employment agreement,comply with legal process
4683,if you use your mobile device to access our website or download our application we may collect device information such as your mobile device identifier model and manufacturer operating system information ip address,comply with legal process
4684,we are based in the united states and unless we expressly agree otherwise we may host transfer and process data including personal information in the united states and in other countries through lucid affiliates and third parties that we use to operate and manage the services these countries may have data protection laws that are different from those of your country of residence lucid uses a variety of safeguards including contractual and technical measures to protect the data we transfer,sharing information with other services with consent
4685,we use the information we collect to provide our products to you and make them better develop new products and protect pinterest and our users for example we may log how often people use two different versions of a product which can help us understand which version is better if you make a purchase on pinterest well save your payment information and contact information so that you can use them the next time you want to buy something on pinterest,where data is hosted
4686,if evernote deactivates your account due to a violation of our terms of service then you may contact us to request deletion of your content and we will evaluate such requests on a case by case basis pursuant to our legal obligations,marketing information emails
4687,inkscape may collect and use users personal information for the following purposes to run and operate our site to display content on the site correctly to improve our sites functionality,help solve issues 
4688,in short some information such as ip address and or browser and device characteristics  is collected automatically when you visit the website,cookies
4689,we do not knowingly collect any personal identifiable information from children under the age of 13 if you think that your child provided this kind of information on our website we strongly encourage you to contact us immediately and we will do our best efforts to promptly remove such information from our records,browsing history
4690,if we or our subsidiaries are involved in a merger acquisition or asset sale your personal data may be transferred,share data with companies group
4691,members of our team have access to the information you provide us for example both administrators and shop managers can access order information like what was purchased when it was purchased and where it should be sent and customer information like your name email address and billing and shipping information,sharing personal information
4692,we collect information about you when you send receive or engage with messages in connection with our services for example if you get a linkedin connection request we track whether you have acted on it and will send you reminders we also use automatic scanning technology on messages to support and protect our site for example we use this technology to suggest possible responses to messages and to manage or block content that violates our user agreement or professional community policies from our services,integrate advertisements on the website
4693,we will never sell your email address,data about device when installing updates
4694,as part of the facebook companies whatsapp receives information from and shares information see here with the other facebook companies we may use the information we receive from them and they may use the information we share with them to help operate provide improve understand customize support and market our services and their offerings including the facebook company products this includes,payment information
4695,we may share or publish aggregate information that does not specifically identify you such as statistical information about visitors to our websites or statistical information about how customers use the adobe experience cloud,sharing data with people involved in transactions
4696,as described on our cookie information page we contract with thirdparty advertising networks in order to deliver relevant evernote advertisements to you across the internet and to manage our communications with you we do not use your content for these purposes in addition we may share with partners or service providers a hashed identifier to serve you relevant evernote ads when you visit partners and providers websites applications or platforms we may for instance participate in the google adwords remarketing twitter tailored audience and facebook custom audience services,providing personal information
4697,your information including personal data may be transferred to  and maintained on  computers located outside of your state province country or other governmental jurisdiction where the data protection laws may differ from those of your jurisdiction,log files data
4698,we may retain information for as long as the account of the customer for whom we collected the information is active or as long as is reasonably necessary to provide screenrec services or as needed for other lawful purposes we may retain cached or archived copies of information we may retain anonymized or pseudonymized aggregated data indefinitely to the extent permitted under applicable law we also will retain information as long as reasonably necessary to comply with our contractual andor legal obligations resolve disputes and enforce our agreements,why information is collected by other companies
4699,nch software does not intend to transfer personal information without your consent to third parties who are not bound to act on nch softwares behalf unless such transfer is legally required similarly it is against nch softwares policy to sell personal information collected online without consent,right to receive provided information
4700,log data when you use pinterest our servers automatically record information log data including information that your browser sends whenever you visit a website or your mobile app sends when you are using it this log data may include your internet protocol address the address of the web pages you visited that had pinterest features browser type and settings the date and time of your request how you used pinterest and cookie data,purpose of collecting anonymous information form visits
4701,we may share your data with third party vendors service providers contractors or agents who perform services for us or on our behalf and require access to such information to do that work and only in the scope which is required to do the work,search prediction service 
4702,in the event that we are involved in a merger acquisition restructuring bankruptcy or sale of all or some of our assets we will share your information with the successor entities or new owners in connection with the transaction in accordance with applicable data protection laws,payment processes 
4703,we use the information we collect including account service usage and survey information to conduct research and development for the further development of our services in order to provide the services to you and others,google adsense
4704,anyone can see the public boards and pins you create and the profile information you give us we may also make this public information available through what are called apis basically a technical way to share information quickly for example a partner might use a pinterest api to study what their most popular pins are or how their pins are being shared on pinterest the other limited instances where we may share your personal information include,other public data
4705,what the information used for to allow us to offer improve maintain and monitor the security and quality of this website to allow us to offer and maintain features such as the community forums to allow us to offer automatic update checks within the application,process of deleting an account
4706,we also may collect public information about you such as professional related news and accomplishments and make it available as part of our services including as permitted by your settings in notifications to others of mentions in the news,improve website
4707,web beacons are clear electronic images that can recognize certain types of information on your computer such as cookies when you viewed a particular website tied to the web beacon and a description of a website tied to the web beacon,security measures
4708,service providers we use others to help us provide our services this includes to help us do application development hosting maintenance backup storage virtual infrastructure payment processing marketing and analysis third party service providers have access to your information as reasonably necessary to perform these tasks on our behalf and are obligated not to disclose or use it for other purposes all our service providers must meet our security and privacy standards before they gain access to any of your information,purpose of sharing information with third parties
